Move: 3_14 to 1_3, Cost: 24
Move: 3_14 to 2_7, Cost: 15
Move: 3_14 to 3_12, Cost: 4
Move: 3_14 to 4_17, Cost: 7
Move: 4_19 to 1_3, Cost: 35
Move: 4_19 to 2_7, Cost: 26
Move: 4_19 to 3_12, Cost: 15
Move: 4_19 to 4_17, Cost: 4
Move: 1_3 to 1_0, Cost: 6
Move: 1_3 to 2_4, Cost: 3
Move: 1_3 to 3_9, Cost: 14
Move: 1_3 to 4_14, Cost: 25
Move: 1_3 to 5_19, Cost: 36
Move: 2_7 to 1_0, Cost: 15
Move: 2_7 to 2_4, Cost: 6
Move: 2_7 to 3_9, Cost: 5
Move: 2_7 to 4_14, Cost: 16
Move: 2_7 to 5_19, Cost: 27
Move: 3_12 to 1_0, Cost: 26
Move: 3_12 to 2_4, Cost: 17
Move: 3_12 to 3_9, Cost: 6
Move: 3_12 to 4_14, Cost: 5
Move: 3_12 to 5_19, Cost: 16
Move: 4_17 to 1_0, Cost: 37
Move: 4_17 to 2_4, Cost: 28
Move: 4_17 to 3_9, Cost: 17
Move: 4_17 to 4_14, Cost: 6
Move: 4_17 to 5_19, Cost: 5
Move: 1_0 to 1_2, Cost: 4
Move: 1_0 to 2_6, Cost: 13
Move: 1_0 to 3_11, Cost: 24
Move: 1_0 to 4_16, Cost: 35
Move: 2_4 to 1_2, Cost: 5
Move: 2_4 to 2_6, Cost: 4
Move: 2_4 to 3_11, Cost: 15
Move: 2_4 to 4_16, Cost: 26
Move: 3_9 to 1_2, Cost: 16
Move: 3_9 to 2_6, Cost: 7
Move: 3_9 to 3_11, Cost: 4
Move: 3_9 to 4_16, Cost: 15
Move: 4_14 to 1_2, Cost: 27
Move: 4_14 to 2_6, Cost: 18
Move: 4_14 to 3_11, Cost: 7
Move: 4_14 to 4_16, Cost: 4
Move: 5_19 to 1_2, Cost: 38
Move: 5_19 to 2_6, Cost: 29
Move: 5_19 to 3_11, Cost: 18
Move: 5_19 to 4_16, Cost: 7
Move: 1_2 to 1_3, Cost: 2
Move: 1_2 to 2_7, Cost: 11
Move: 1_2 to 3_12, Cost: 22
Move: 1_2 to 4_17, Cost: 33
Move: 2_6 to 1_3, Cost: 7
Move: 2_6 to 2_7, Cost: 2
Move: 2_6 to 3_12, Cost: 13
Move: 2_6 to 4_17, Cost: 24
Move: 3_11 to 1_3, Cost: 18
Move: 3_11 to 2_7, Cost: 9
Move: 3_11 to 3_12, Cost: 2
Move: 3_11 to 4_17, Cost: 13
Move: 4_16 to 1_3, Cost: 29
Move: 4_16 to 2_7, Cost: 20
Move: 4_16 to 3_12, Cost: 9
Move: 4_16 to 4_17, Cost: 2
Move: 1_3 to 1_2, Cost: 2
Move: 1_3 to 2_6, Cost: 7
Move: 1_3 to 3_11, Cost: 18
Move: 1_3 to 4_16, Cost: 29
Move: 2_7 to 1_2, Cost: 11
Move: 2_7 to 2_6, Cost: 2
Move: 2_7 to 3_11, Cost: 9
Move: 2_7 to 4_16, Cost: 20
Move: 3_12 to 1_2, Cost: 22
Move: 3_12 to 2_6, Cost: 13
Move: 3_12 to 3_11, Cost: 2
Move: 3_12 to 4_16, Cost: 9
Move: 4_17 to 1_2, Cost: 33
Move: 4_17 to 2_6, Cost: 24
Move: 4_17 to 3_11, Cost: 13
Move: 4_17 to 4_16, Cost: 2
Move: 1_2 to 1_3, Cost: 2
Move: 1_2 to 2_7, Cost: 11
Move: 1_2 to 3_12, Cost: 22
Move: 1_2 to 4_17, Cost: 33
Move: 2_6 to 1_3, Cost: 7
Move: 2_6 to 2_7, Cost: 2
Move: 2_6 to 3_12, Cost: 13
Move: 2_6 to 4_17, Cost: 24
Move: 3_11 to 1_3, Cost: 18
Move: 3_11 to 2_7, Cost: 9
Move: 3_11 to 3_12, Cost: 2
Move: 3_11 to 4_17, Cost: 13
Move: 4_16 to 1_3, Cost: 29
Move: 4_16 to 2_7, Cost: 20
Move: 4_16 to 3_12, Cost: 9
Move: 4_16 to 4_17, Cost: 2
